account,trade_date,n_trades,total_pnl,avg_pnl,total_volume,total_fees,win_rate,sentiment,sentiment_value,pnl_per_trade
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-30,55,7372.4851,134.0452,81107.93,28.3877,1.0,Greed,70.0,134.0452
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-01,78,1162.0025,46.4801,163388.11,29.9037,1.0,Greed,68.0,14.8975
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-02,517,6352.4526,25.823,1443682.0,487.2569,0.9472,Greed,60.0,12.2871
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-11,124,-12346.9908,-99.5725,75901.55,26.5655,0.0,Neutral,47.0,-99.5725
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-12,159,355.5854,2.7999,427297.12,149.5539,1.0,Neutral,46.0,2.2364
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-24,160,1129.8489,21.7279,262595.6,34.1957,1.0,Neutral,49.0,7.0616
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-25,1,-6820.7696,-6820.7696,82910.81,29.0188,0.0,Fear,25.0,-6820.7696
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-28,52,,,76066.87,1.3532,,Extreme Fear,16.0,
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-03,110,2480.9024,49.618,219900.91,53.5065,1.0,Fear,33.0,22.5537
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-04,65,-3169.3555,-316.9355,114173.17,20.6774,0.0,Extreme Fear,15.0,-48.7593
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-07,37,,,55481.42,1.2629,,Fear,34.0,
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-08,47,2099.0197,44.66,57580.5,20.1532,1.0,Fear,28.0,44.66
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-09,65,656.5407,11.5183,173973.68,22.1148,1.0,Fear,27.0,10.1006
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-10,53,-1065.7976,-20.4961,176292.61,41.26,0.9808,Extreme Fear,20.0,-20.1094
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-12,53,1591.7533,30.6106,115769.39,20.9611,1.0,Fear,34.0,30.0331
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-13,27,-2315.3772,-231.5377,115001.41,20.2683,0.0,Neutral,45.0,-85.7547
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-28,42,,,61324.83,1.5445,,Fear,44.0,
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-29,97,-5018.4664,-51.7368,56306.5,19.7072,0.0,Fear,26.0,-51.7368
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-31,155,716.1439,8.6282,113285.54,20.9276,1.0,Fear,34.0,4.6203
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-03,1,,,54768.6,0.4564,,Fear,25.0,
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-15,1,,,16.37,0.0004,,Fear,38.0,
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-16,88,-95.9857,-1.0907,68679.46,24.0378,0.0114,Fear,29.0,-1.0907
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-17,125,-133.4124,-1.9912,91365.76,31.978,0.2985,Fear,30.0,-1.0673
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-18,689,951.9344,3.1626,528313.42,129.3301,1.0,Fear,33.0,1.3816
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-19,411,371.503,1.2509,226906.97,51.0207,1.0,Fear,32.0,0.9039
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-20,603,-1892.5895,-5.6495,581052.14,119.8758,0.7433,Fear,37.0,-3.1386
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-21,97,3434.6893,35.4092,86106.24,30.1371,1.0,Fear,39.0,35.4092
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-23,568,2654.1432,7.8063,1472966.88,197.9631,0.9882,Greed,72.0,4.6728
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-24,680,1867.2529,4.6565,1142252.43,188.105,0.8304,Greed,63.0,2.746
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-25,330,1969.3932,20.303,1248337.12,197.0366,0.4124,Greed,60.0,5.9679
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-26,338,-4648.8711,-13.7541,96183.93,16.9161,0.0,Greed,65.0,-13.7541
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-27,67,,,96167.16,0.2671,,Greed,61.0,
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-30,83,5179.7727,62.4069,101346.88,30.404,1.0,Greed,56.0,62.4069
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-05-01,250,1243.8536,15.3562,203876.44,31.0305,1.0,Neutral,53.0,4.9754
0x271b280974205ca63b716753467d5a371de622ab,2024-07-15,5,-1.0,-0.5,30351.0,10.1979,0.0,Neutral,52.0,-0.2
0x271b280974205ca63b716753467d5a371de622ab,2024-11-29,1,1584.3428,1584.3428,1584.35,0.5323,1.0,Extreme Greed,78.0,1584.3428
0x271b280974205ca63b716753467d5a371de622ab,2024-12-05,4,208.8175,69.6058,158123.95,34.1297,1.0,Extreme Greed,84.0,52.2044
0x271b280974205ca63b716753467d5a371de622ab,2025-04-09,797,16706.8849,54.5977,4886973.24,1181.1351,0.9804,Extreme Fear,18.0,20.9622
0x271b280974205ca63b716753467d5a371de622ab,2025-04-10,339,13264.0433,57.4201,7423746.26,2463.0619,0.8182,Fear,39.0,39.127
0x271b280974205ca63b716753467d5a371de622ab,2025-04-19,313,5942.5472,148.5637,2716221.67,720.0813,1.0,Fear,32.0,18.9858
0x271b280974205ca63b716753467d5a371de622ab,2025-04-20,863,8277.3074,19.522,2657908.25,615.6646,1.0,Fear,37.0,9.5913
0x271b280974205ca63b716753467d5a371de622ab,2025-04-21,353,2638.0126,43.2461,693974.34,118.0344,1.0,Fear,39.0,7.4731
0x271b280974205ca63b716753467d5a371de622ab,2025-04-22,594,-19037.3406,-81.7053,4817869.23,1377.8556,0.0,Neutral,47.0,-32.0494
0x271b280974205ca63b716753467d5a371de622ab,2025-04-23,469,-108176.9187,-458.3768,9394438.39,2487.0526,0.2797,Greed,72.0,-230.6544
0x271b280974205ca63b716753467d5a371de622ab,2025-04-24,70,8157.1123,116.5302,1092249.57,273.2373,0.9429,Greed,63.0,116.5302
0x271b280974205ca63b716753467d5a371de622ab,2025-04-25,1,,,0.17,0.0,,Greed,60.0,
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-16,93,159.1001,6.1192,34754.56,10.2689,0.6154,Extreme Greed,86.0,1.7108
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-17,95,161.2899,3.6657,33584.67,10.2516,0.7727,Extreme Greed,90.0,1.6978
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-18,162,147.4103,1.5851,108044.6,37.4658,0.7204,Extreme Greed,83.0,0.9099
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-19,213,233.3655,1.9611,190840.29,66.8167,0.8739,Extreme Greed,90.0,1.0956
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-20,407,-316.2452,-1.4507,874868.16,298.3123,0.6468,Extreme Greed,83.0,-0.777
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-21,446,780.0013,3.3192,325137.18,111.649,0.6638,Extreme Greed,82.0,1.7489
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-22,433,141.2196,0.6167,182730.29,62.2022,0.5895,Extreme Greed,94.0,0.3261
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-23,156,673.6312,8.7485,52019.64,17.776,0.8182,Extreme Greed,93.0,4.3181
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-24,69,108.3211,3.0949,13851.0,4.4698,0.8286,Extreme Greed,80.0,1.5699
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-25,225,464.281,3.3402,72982.65,24.4513,0.6835,Extreme Greed,82.0,2.0635
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-26,217,-508.2906,-4.3818,219729.39,75.5234,0.6552,Extreme Greed,79.0,-2.3424
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-27,169,193.6642,2.0824,187730.65,62.761,0.7957,Extreme Greed,75.0,1.1459
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-28,207,165.5326,1.4394,195837.9,67.2858,0.6783,Extreme Greed,77.0,0.7997
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-29,206,9551.7342,88.442,80123.45,29.2135,0.8519,Extreme Greed,78.0,46.3676
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-30,154,5590.5282,64.2589,48590.47,17.7727,0.8161,Extreme Greed,84.0,36.3021
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-01,193,4458.2549,41.2801,47695.56,16.1055,0.8981,Extreme Greed,81.0,23.0998
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-02,140,1283.846,17.1179,19651.71,6.3095,0.9733,Extreme Greed,80.0,9.1703
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-03,78,1190.3587,32.1719,7205.03,2.9828,1.0,Extreme Greed,76.0,15.261
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-04,112,9066.1696,148.6257,18567.68,7.2277,0.9836,Extreme Greed,78.0,80.9479
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-05,98,14685.7877,305.9539,25406.1,9.3263,1.0,Extreme Greed,84.0,149.855
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-06,69,389.1762,24.3235,8956.57,2.9075,1.0,Greed,72.0,5.6402
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-07,86,4008.012,111.3337,13732.33,3.6682,1.0,Extreme Greed,75.0,46.6048
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-08,102,554.0099,12.884,7922.52,2.8136,1.0,Extreme Greed,79.0,5.4315
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-09,213,768.4308,5.9568,18772.08,6.7921,0.9767,Extreme Greed,78.0,3.6077
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-10,157,980.5575,8.9142,18780.69,5.8161,0.9636,Extreme Greed,78.0,6.2456
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-11,93,1582.0011,39.55,11570.32,4.121,0.8,Greed,74.0,17.0108
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-12,147,5806.8693,66.7456,22071.36,6.9989,0.9425,Extreme Greed,83.0,39.5025
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-13,155,1522.2844,18.5644,13731.75,6.2494,0.8659,Extreme Greed,76.0,9.8212
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-14,154,13281.7313,108.8666,28880.56,9.8584,0.9754,Extreme Greed,83.0,86.245
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-15,137,5389.9622,75.915,17125.99,6.5299,0.9577,Extreme Greed,80.0,39.3428
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-16,230,13190.2489,84.5529,30184.81,16.9369,0.9872,Extreme Greed,83.0,57.3489
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-17,181,4454.9394,56.3916,20394.48,6.7065,0.9873,Extreme Greed,87.0,24.6129
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-18,191,3624.4897,42.6411,23859.85,7.0983,0.9412,Extreme Greed,81.0,18.9764
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-19,204,1525.3299,16.2269,40188.99,13.8441,0.8511,Extreme Greed,75.0,7.4771
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-20,194,7812.7164,64.5679,56183.31,20.1543,0.9174,Greed,74.0,40.2717
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-21,107,7465.8999,135.7436,23041.15,8.1768,0.9818,Greed,73.0,69.7748
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-22,79,1174.0255,27.953,13811.95,4.7791,0.9762,Greed,73.0,14.8611
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-23,95,122.89,4.0963,20168.95,7.3873,0.9667,Greed,70.0,1.2936
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-24,48,1555.9565,97.2473,13556.33,3.9706,0.9375,Greed,73.0,32.4158
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-25,66,1530.9194,42.5255,18751.64,6.7202,0.8333,Greed,73.0,23.1957
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-26,84,101.8609,3.2858,18806.8,6.3572,0.9032,Extreme Greed,79.0,1.2126
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-27,73,388.366,14.9372,16192.71,5.89,1.0,Greed,74.0,5.3201
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-28,63,506.5126,16.8838,10479.52,3.6276,0.7667,Greed,72.0,8.0399
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-29,34,115.5122,6.7948,4793.72,1.6743,1.0,Greed,73.0,3.3974
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-30,125,255.8083,5.949,56954.43,15.9398,0.9767,Greed,65.0,2.0465
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-31,107,496.2218,15.037,119958.51,37.0948,0.9697,Greed,64.0,4.6376
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-01,59,109.8269,5.2299,15537.51,4.2068,1.0,Greed,66.0,1.8615
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-02,101,416.5467,8.8627,21987.03,7.7159,0.9787,Greed,70.0,4.1242
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-03,69,250.5815,6.4252,14983.43,5.2176,0.9231,Greed,74.0,3.6316
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-04,81,232.6655,4.8472,12691.32,4.4511,0.8333,Greed,73.0,2.8724
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-05,82,87.7522,1.8671,8297.09,2.9039,0.9362,Greed,72.0,1.0701
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-06,80,114.6842,5.4612,6566.03,2.1808,1.0,Extreme Greed,76.0,1.4336
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-07,103,267.8462,3.5243,10681.19,3.8422,0.9474,Extreme Greed,78.0,2.6004
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-08,149,651.4694,7.005,73008.96,25.6246,0.914,Greed,70.0,4.3723
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-09,103,571.6889,11.6671,75026.01,26.629,1.0,Greed,69.0,5.5504
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-10,84,401.7063,10.0427,43858.12,12.9345,0.925,Neutral,50.0,4.7822
